712	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Seat	Snigdha
1	DHAKA	-	16:20	0	0	0	0
2	BIMAN_BANDAR	16:47	16:52	35	40	80	90
3	ASHUGANJ	18:12	18:15	100	120	160	230
4	BRAHMAN_BARIA	18:32	18:36	110	135	175	253
5	AKHAURA	19:05	19:15	125	145	195	282
6	QOSBA	19:34	19:36	135	160	215	305
7	COMILLA	20:12	20:15	160	190	250	363
8	LAKSAM	20:47	20:52	175	210	280	403
9	NATHAR_PATUA	21:15	21:17	210	250	335	478
10	SONAIMURI	21:28	21:31	210	250	335	478
11	BOJRA	21:40	21:42	210	250	335	478
12	CHOUMUHANI	21:50	21:54	210	250	335	478
13	MAIJDI_COURT	22:07	22:10	210	250	335	478
14	NOAKHALI	22:35	-	210	250	335	478
