717	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Chair	F_Seat	AC_Seat
1	DHAKA	-	12:00	0	0	0	0	0
2	BIMAN_BANDAR	12:27	12:32	35	40	80	80	100
3	ASHUGANJ	14:33	14:35	100	120	160	160	276
4	BRAHMAN_BARIA	14:54	14:57	110	135	175	175	305
5	AZAMPUR	15:22	15:24	125	150	200	200	345
6	MUKUNDUPUR	15:37	15:39	130	160	210	210	363
7	HOROSHPUR	15:49	15:51	140	165	220	220	374
8	MONTALA	16:01	16:03	145	170	225	225	391
9	NAYAPARA	16:18	16:20	150	180	240	240	414
10	SHAHAGI_BAZAR	16:31	16:33	160	190	250	250	432
11	SHAISTAGONJ	16:45	16:48	165	195	260	260	449
12	SRIMANGAL	17:30	17:33	185	225	295	295	512
13	BHANUGACH	17:52	17:54	195	235	310	310	535
14	KULAURA	18:24	18:27	215	255	340	340	587
15	MAIZGAON	18:55	18:57	245	295	395	395	679
16	SYLHET	19:50	-	245	295	395	395	679
