765	Station_Name	Arrival_Time	Departure_Time	Shovon	S_Chair	F_Seat	F_Berth	Snigdha	AC_Seat	AC_Berth
1	DHAKA	-	08:25	0	0	0	0	0	0	0
2	BIMAN_BANDAR	08:24	08:36	35	40	80	100	90	100	120
3	JAYDEBPUR	09:00	09:30	35	40	80	100	90	100	120
4	TANGAIL	10:28	10:31	90	105	140	210	175	210	315
5	B._B._SETU_E	10:51	11:01	105	125	165	250	210	250	375
6	S._MONSUR_ALI	N/A	N/A	175	210	275	415	345	415	620
7	JAMTAIL	N/A	N/A	180	215	285	425	355	425	635
8	CHATMOHAR	N/A	N/A	210	250	335	500	415	500	750
9	ISHURDI_BYPASS	N/A	N/A	215	255	340	510	425	510	765
10	MULADULI	N/A	N/A	220	260	350	520	435	520	780
11	NATORE	13:07	13:10	245	295	395	590	490	590	885
12	AHASANGANG	13:33	13:36	260	315	420	625	520	625	935
13	SANTAHER	14:00	14:05	275	330	440	660	550	660	990
14	ACCALPUR	14:26	14:28	290	345	460	690	575	690	1035
15	JOYPURHAT	14:44	14:48	300	360	475	715	595	715	1070
16	PANCHABIBI	N/A	N/A	305	365	490	730	610	730	1095
17	BIRAMPUR	15:19	15:22	320	385	510	765	640	765	1150
18	PHULBARI	15:34	15:37	330	395	525	785	655	785	1175
19	PARBATIPUR	16:05	16:15	340	405	540	810	675	810	1215
20	SAIDPUR	16:35	16:40	360	435	575	865	720	865	1295
21	NEELFAMARI	17:20	-	360	435	575	865	720	865	1295
